_id,Firts Name,Last Name,Center,test_date,userscore,physics,chemistry,maths,resultstatus,pp_totalmarks
75,Danica,Fleig,Brooklyn,2024-06-16,,,,,Absent,300
76,Shaquana,Emigh,Manhattan,2024-06-09,59,13,9,23,Absent,75
77,Brinda,Master,Brooklyn,2024-05-19,,,,,Absent,360
78,Janell,Hinojos,Manhattan,2024-06-02,,,,,Absent,720
79,Karri,Celestin,Brooklyn,2024-05-19,202,7,34,,Absent,360
80,Enid,Bouley,Manhattan,2024-06-16,,,,,Absent,300
81,Desire,Klenke,Manhattan,2024-06-02,,,,,Absent,720
82,Brian,Chamberlain,Manhattan,2024-05-19,70,-1,20,,Absent,360
83,Kristeen,Farabaugh,Manhattan,2024-06-02,269,27,7,,Absent,720
84,Gilda,Vanatta,Manhattan,2024-06-02,,,,,Absent,720
85,Princess,Bumbrey,Brooklyn,2024-06-16,,,,,Absent,300
86,Earlie,Townson,Manhattan,2024-05-19,181,42,41,,Absent,360
87,Fumiko,Laliberte,Manhattan,2024-06-02,,,,,Absent,720
88,Sherie,Chason,Queens,2024-05-19,80,26,39,15,Absent,144
89,Gricelda,Maravilla,Brooklyn,2024-05-19,,,,,Absent,144
90,Serafina,Knoll,Manhattan,2024-06-16,,,,,Absent,300
91,Sachiko,Younkin,Brooklyn,2024-06-02,160,53,53,54,Present,300
92,Jena,Noles,Manhattan,2024-06-02,,,,,Absent,720
93,Shelby,Wiser,Manhattan,2024-06-02,,,,,Absent,720
94,Margareta,Spies,Brooklyn,2024-06-16,86,15,41,30,Present,300
95,Dinorah,Furey,Manhattan,2024-06-02,,,,,Absent,720
96,Kiyoko,Lechuga,Brooklyn,2024-06-09,,,,,Absent,75
97,Danny,Kreger,Brooklyn,2024-05-19,39,18,13,8,Present,144
98,Nolan,Fenwick,Manhattan,2024-06-02,206,76,74,56,Present,300
99,Lesli,Unrein,Manhattan,2024-06-16,127,36,38,53,Present,300
100,Donya,Bartle,Brooklyn,2024-05-19,241,61,57,,Present,360
101,Palma,Flanery,Brooklyn,2024-06-02,113,69,3,41,Present,300
102,Kenny,Clothier,Brooklyn,2024-06-02,271,39,45,,Present,720
103,Kristen,Lossing,Brooklyn,2024-05-19,,,,,Absent,144
104,Karoline,Felix,Brooklyn,2024-06-16,59,11,38,10,Present,300
105,Alan,Voll,Brooklyn,2024-06-16,,,,,Absent,300
106,Glenda,Woolfolk,Brooklyn,2024-06-16,66,28,15,23,Present,300
107,Alyson,Hosack,Manhattan,2024-06-02,,,,,Absent,300
108,Francis,Sines,Manhattan,2024-05-19,,,,,Absent,360
109,Riley,Bagnall,Manhattan,2024-06-02,353,39,36,,Present,720
110,Carmina,Camp,Brooklyn,2024-05-19,,,,,Absent,360
111,Alethia,Tiemann,Manhattan,2024-05-19,253,55,70,,Present,360
112,Deborah,Molinar,Brooklyn,2024-06-16,39,14,10,15,Present,300
113,Marvella,Huckstep,Manhattan,2024-06-09,53,9,11,19,Present,75
114,Sallie,Briley,Manhattan,2024-06-02,140,59,10,71,Present,300
115,Scottie,Backer,Brooklyn,2024-06-02,146,83,17,46,Present,300
116,Beatriz,Kinsey,Brooklyn,2024-06-16,218,95,56,67,Present,300
117,Mason,Carrow,Brooklyn,2024-05-19,,,,,Absent,360
118,Regenia,Blish,Brooklyn,2024-05-19,,,,,Absent,360
119,Necole,Faria,Manhattan,2024-05-19,263,72,60,,Present,360
120,Samantha,Hadfield,Brooklyn,2024-06-02,,,,,Absent,720
121,Lida,Sing,Manhattan,2024-06-02,,,,,Absent,720
122,Bette,Church,Brooklyn,2024-06-09,47,11,10,16,Present,75
123,Illa,Friscia,Manhattan,2024-06-02,,,,,Absent,720
124,Magdalena,Clabaugh,Brooklyn,2024-05-19,,,,,Absent,360
125,Sol,Lemley,Manhattan,2024-05-19,39,19,10,10,Present,144
126,Angelyn,Nave,Manhattan,2024-05-19,317,72,83,,Absent,360
127,Lorie,Hempstead,Brooklyn,2024-05-19,236,50,71,,Absent,360
128,Darlena,Brubaker,Manhattan,2024-06-02,589,136,113,,Absent,720
129,Ivory,Almonte,Manhattan,2024-06-09,,,,,Absent,75
130,Keva,Sauage,Brooklyn,2024-06-02,,,,,Absent,720
131,Krystin,Morita,Manhattan,2024-06-02,159,70,35,54,Absent,300
132,Margarito,Hintzen,Brooklyn,2024-06-23,92,27,27,38,Absent,300
133,Alanna,Gillispie,Manhattan,2024-06-02,,,,,Absent,720
134,Alayna,Rosenblatt,Manhattan,2024-06-16,150,25,73,52,Absent,300
135,Deeann,Thomsen,Brooklyn,2024-06-16,,,,,Absent,75
136,Guy,Moulton,Brooklyn,2024-06-23,50,30,13,7,Present,300
137,Ming,Scudder,Manhattan,2024-05-19,250,54,60,,Present,360
138,Mickey,Espino,Manhattan,2024-06-02,,,,,Absent,720
139,Mellissa,Mortimore,Brooklyn,2024-05-19,331,82,83,,Present,360
140,Lesia,Stoute,Manhattan,2024-06-23,180,73,49,58,Present,300
141,Pauletta,Murton,Brooklyn,2024-06-02,,,,,Absent,720
142,Solomon,Chamberlin,Manhattan,2024-06-23,280,30,16,,Present,720
143,Neville,Yocom,Brooklyn,2024-05-19,,,,,Absent,360
144,Vera,Edmiston,Manhattan,2024-06-02,,,,,Absent,720
145,Lawerence,Amburn,Manhattan,2024-05-19,,,,,Absent,360
146,Cedrick,Agnew,Manhattan,2024-05-19,192,23,30,,Present,360
147,Melinda,Kuchta,Brooklyn,2024-06-16,199,55,81,63,Present,300
148,Alma,Gelinas,Brooklyn,2024-06-02,,,,,Absent,720
149,Francis,Sikes,Brooklyn,2024-06-23,330,20,0,,Present,720
150,Minerva,Giles,Brooklyn,2024-06-23,,,,,Absent,75
151,Nikki,Iskra,Brooklyn,2024-06-02,368,35,35,,Present,720
152,Lore,Coil,Brooklyn,2024-06-02,367,3,60,,Present,720
153,Marlena,Craner,Brooklyn,2024-06-02,344,69,64,,Present,720
154,Darius,Trojacek,Queens,2024-05-19,274,58,64,,Present,360
155,Sade,Gasaway,Brooklyn,2024-06-02,,,,,Absent,720
156,Sybil,Rahman,Brooklyn,2024-05-19,,,,,Absent,360
157,Zoraida,Sumner,Brooklyn,2024-06-02,142,53,36,53,Present,300
158,Raina,Mccrae,Manhattan,2024-06-02,515,101,98,,Present,720
159,Elsa,Mcspadden,Brooklyn,2024-06-16,165,62,34,69,Present,300
160,Bernadine,Chung,Brooklyn,2024-06-02,,,,,Absent,720
161,Francie,Frase,Manhattan,2024-06-16,,,,,Absent,300
162,Mariana,Vavra,Brooklyn,2024-06-02,,,,,Absent,720
163,Nakita,Primer,Brooklyn,2024-05-19,190,36,13,,Present,360
164,Aletha,Hardesty,Brooklyn,2024-06-02,,,,,Absent,720
165,Dwain,Sargeant,Manhattan,2024-05-19,228,38,58,,Present,360
166,Thea,Hubbs,Manhattan,2024-06-16,,,,,Absent,300
167,Caleb,Peters,Brooklyn,2024-06-02,,,,,Absent,720
168,Sparkle,Kaestner,Manhattan,2024-06-02,,,,,Absent,720
169,Narcisa,Hsieh,Brooklyn,2024-06-02,,,,,Absent,720
170,Sherwood,Vanalstyne,Manhattan,2024-06-02,,,,,Absent,720
171,Jeanice,Joy,Brooklyn,2024-06-23,,,,,Absent,720
172,Bert,Riter,Queens,2024-06-16,101,24,49,28,Present,300
173,Dorotha,Aldinger,Brooklyn,2024-05-19,,,,,Absent,360
174,Anisha,Thomson,Brooklyn,2024-06-02,,,,,Absent,720
175,Rufus,Amerine,Manhattan,2024-06-23,373,42,57,,Present,720
176,Roslyn,Alaimo,Brooklyn,2024-06-02,,,,,Absent,720
177,Noelle,Raybon,Manhattan,2024-06-02,304,19,30,,Present,720
178,Shanae,Hanger,Brooklyn,2024-06-02,412,68,43,,Present,720
179,William,Hopf,Brooklyn,2024-06-16,94,26,26,42,Present,300
180,Adolfo,Bella,Staten Island,2024-06-02,388,46,32,,Present,720
181,Xenia,Schubert,Brooklyn,2024-06-02,,,,,Absent,720
182,Brenton,Tokarski,Bronx,2024-06-23,142,21,14,,Present,720
183,Hal,Bender,Brooklyn,2024-06-02,,,,,Absent,720
184,Geraldine,Border,Manhattan,2024-06-02,156,25,25,,Present,720
185,Setsuko,Pardo,Manhattan,2024-05-19,202,47,36,,Present,360
186,Meghan,Sydnor,Brooklyn,2024-06-23,419,84,32,,Present,720
187,Lavern,Gard,Manhattan,2024-06-23,61,9,13,23,Present,75
188,Cyrus,Beckham,Manhattan,2024-06-23,510,92,78,,Present,720
189,Leeanne,Fortunato,Manhattan,2024-06-02,308,58,17,,Present,720
190,Nilda,Deyoung,Manhattan,2024-06-23,,,,,Absent,720
191,Marylee,Greenburg,Brooklyn,2024-06-02,,,,,Absent,720
192,Gay,Aubert,Queens,2024-06-02,,,,,Absent,720
193,Janel,Carley,Manhattan,2024-06-02,,,,,Absent,720
194,Damaris,Nestle,Brooklyn,2024-06-23,98,46,44,8,Present,300
195,Jeanine,Hoerr,Brooklyn,2024-05-19,39,0,-2,,Present,360
196,Wiley,Scotto,Brooklyn,2024-06-23,319,43,37,,Present,720
197,Dian,Cobian,Brooklyn,2024-06-02,,,,,Absent,720
198,Brendan,Zilnicki,Manhattan,2024-06-02,,,,,Absent,720
199,Mana,Seegmiller,Brooklyn,2024-06-23,430,79,30,,Present,720
200,Flavia,Nitta,Manhattan,2024-06-02,,,,,Absent,720
201,Humberto,Ware,Manhattan,2024-06-23,,,,,Absent,300
202,Ned,Permenter,Manhattan,2024-06-02,,,,,Absent,720
203,Albertina,Junkin,Brooklyn,2024-06-23,,,,,Absent,720
204,Rosia,Duron,Manhattan,2024-06-02,550,103,112,,Present,720
205,Kena,Stallings,Manhattan,2024-06-23,256,36,27,,Present,720
206,Lolita,Pringle,Manhattan,2024-06-23,,,,,Absent,720
207,Kristen,Gilley,Queens,2024-06-02,190,35,24,,Present,720
208,Genaro,Koga,Manhattan,2024-06-02,266,55,11,,Present,720
209,Suzanna,Putman,Brooklyn,2024-06-02,,,,,Absent,720
210,Candy,Konieczny,Queens,2024-06-02,428,59,70,,Present,720
211,Ozella,Conner,Queens,2024-06-23,39,26,2,11,Present,300
212,Leonel,Hock,Queens,2024-06-02,379,63,32,,Present,720
213,Vannesa,Millard,Brooklyn,2024-06-16,,,,,Absent,75
214,Melonie,Villacorta,Manhattan,2024-06-02,,,,,Absent,720
215,Dorine,Zeitler,Manhattan,2024-06-02,,,,,Absent,720
216,Bridget,Conyers,Brooklyn,2024-06-02,,,,,Absent,720
217,Jacklyn,Dyment,Manhattan,2024-06-23,349,54,6,,Present,720
218,Felicita,Maclachlan,Bronx,2024-05-19,,,,,Absent,360
219,Herbert,Gamache,Manhattan,2024-06-02,,,,,Absent,720
220,Antonietta,Llewellyn,Brooklyn,2024-05-19,137,12,50,,Present,360
221,Pennie,Alling,Brooklyn,2024-06-23,,,,,Absent,720
222,Laree,Kay,Manhattan,2024-06-16,46,,,,Present,75
223,Antonio,Navarette,Manhattan,2024-06-02,,,,,Absent,720
224,Steve,Mainor,Brooklyn,2024-06-02,,,,,Absent,720
225,Gertrud,Sather,Brooklyn,2024-06-16,172,68,66,38,Present,300
226,Nan,Beverley,Manhattan,2024-06-02,340,35,35,,Present,720
227,Walter,Belford,Brooklyn,2024-06-02,306,37,32,,Present,720
228,Colby,Hobart,Manhattan,2024-06-16,68,36,15,17,Present,300
229,Patrick,Nocera,Queens,2024-06-02,607,110,152,,Absent,720
230,Hilary,Modeste,Brooklyn,2024-06-23,,,,,Absent,720
231,Elke,Licht,Manhattan,2024-06-02,,,,,Absent,720
232,Faustina,Dunson,Manhattan,2024-06-23,64,41,6,17,Present,300
233,Tara,Clingman,Manhattan,2024-06-23,,,,,Absent,720
234,Elva,Hochmuth,Manhattan,2024-06-09,37,9,7,11,Present,75
235,Opal,Groover,Manhattan,2024-06-23,233,29,33,,Present,720
236,Maryln,Ferris,Manhattan,2024-06-23,77,0,-15,,Present,720
237,Katrina,Almon,Brooklyn,2024-06-02,488,73,84,,Present,720
238,Stephane,Labelle,Manhattan,2024-06-16,67,,,,Present,75
239,Christene,Gloria,Manhattan,2024-06-23,507,93,82,,Present,720
240,Araceli,Majewski,Queens,2024-06-02,579,104,129,,Present,720
241,Marilou,Funderburg,Brooklyn,2024-06-02,642,160,137,,Present,720
242,America,Tocci,Manhattan,2024-06-23,,,,,Absent,300
243,Erich,Ragin,Manhattan,2024-06-23,301,49,6,,Present,720
244,Neoma,Pellegrino,Manhattan,2024-06-02,146,17,28,,Present,720
245,Sid,Lamore,Manhattan,2024-06-23,327,14,33,,Present,720
246,Stella,Morman,Manhattan,2024-06-09,43,7,9,14,Present,75
247,Ha,Durrah,Manhattan,2024-06-23,436,64,48,,Present,720
248,Chantel,Absher,Manhattan,2024-05-19,58,17,-9,,Present,360
249,Torri,Wert,Manhattan,2024-06-09,50,12,11,16,Present,75
250,Michelina,Holscher,Manhattan,2024-06-02,,,,,Absent,720
251,Verlene,Arviso,Manhattan,2024-06-02,,,,,Absent,720
252,Lois,Tew,Manhattan,2024-06-02,303,31,53,,Absent,720
253,Miguelina,Hoyte,Manhattan,2024-06-23,47,26,4,17,Absent,300
254,Evelina,Willaert,Manhattan,2024-06-02,,,,,Absent,720
255,Ranae,Topp,Manhattan,2024-05-19,,,,,Absent,360
256,Carolann,Veasley,Manhattan,2024-05-19,264,55,70,,Absent,360
257,Jeannette,Gravelle,Brooklyn,2024-06-02,,,,,Absent,720
258,Lenita,Slevin,Manhattan,2024-06-02,,,,,Absent,720
259,Valentina,Quinby,Brooklyn,2024-06-23,215,46,9,,Absent,720
260,Latoyia,Bushway,Staten Island,2024-06-02,,,,,Absent,720
261,Keitha,Wold,Staten Island,2024-06-02,315,30,21,,Absent,720
262,Flora,Plascencia,Staten Island,2024-06-02,447,47,77,,Absent,720
263,Azucena,Herder,Manhattan,2024-06-02,225,43,4,,Present,720
264,Kathi,Lilienthal,Manhattan,2024-05-19,258,49,73,,Present,360
265,Andrea,Saine,Brooklyn,2024-06-02,,,,,Absent,720
266,Shawna,Riviera,Brooklyn,2024-05-19,217,45,36,,Present,360
267,Nolan,Harwell,Staten Island,2024-06-23,,,,,Absent,720
268,Jennell,Leverich,Queens,2024-06-02,,,,,Absent,720
269,Birgit,Puente,Brooklyn,2024-06-23,450,35,70,,Present,720
270,Gerry,Medal,Brooklyn,2024-05-19,165,45,41,,Present,360
271,Palma,Sample,Bronx,2024-06-02,,,,,Absent,720
272,Annalisa,Rotolo,Bronx,2024-05-19,295,68,70,,Present,360
273,Eilene,Jolly,Brooklyn,2024-06-02,201,73,62,66,Present,300
274,Kathey,Keep,Manhattan,2024-06-16,171,42,59,70,Present,300
275,Fanny,Dutra,Brooklyn,2024-06-16,60,,,,Present,75
276,Leanne,Proto,Manhattan,2024-06-02,,,,,Absent,720
277,Traci,Heier,Brooklyn,2024-06-16,149,52,53,44,Present,300
278,Jennette,Everett,Manhattan,2024-06-02,,,,,Absent,720
279,Levi,Sharpton,Brooklyn,2024-06-23,140,0,6,,Present,720
280,Jackson,Sills,Brooklyn,2024-06-16,36,,,,Present,75
281,Fabiola,Virden,Brooklyn,2024-05-19,171,12,34,,Present,360
282,Wan,Zajac,Brooklyn,2024-06-02,,,,,Absent,720
283,Franklin,Kruger,Manhattan,2024-06-23,376,52,60,,Present,720
284,Delcie,Graffam,Manhattan,2024-05-19,39,1,13,,Present,360
285,Yolonda,Jorgenson,Manhattan,2024-06-02,,,,,Absent,720
286,Kraig,Grove,Brooklyn,2024-05-19,157,44,37,,Present,360
287,Joanna,Westman,Brooklyn,2024-06-16,,,,,Absent,300
288,Luetta,Wyse,Manhattan,2024-06-02,,,,,Absent,720
289,Nana,Neilsen,Brooklyn,2024-06-02,,,,,Absent,720
290,Elidia,Gillett,Brooklyn,2024-06-02,,,,,Absent,720
291,Lien,Brigmond,Manhattan,2024-06-02,344,33,40,,Present,720
292,Meaghan,Majeed,Brooklyn,2024-06-02,482,94,52,,Present,720
293,Dominica,Lanterman,Brooklyn,2024-06-16,125,24,58,43,Present,300
294,Cami,Ryals,Brooklyn,2024-06-02,421,74,61,,Present,720
295,Caroline,Fleischer,Manhattan,2024-06-16,67,,,,Present,75
296,Joyce,Pleasant,Manhattan,2024-06-23,478,100,73,,Present,720
297,Kyung,Hearne,Brooklyn,2024-06-02,355,60,51,,Present,720
298,Ranee,Boomhower,Manhattan,2024-06-02,,,,,Absent,720
299,Jong,Steele,Brooklyn,2024-06-02,578,122,106,,Present,720
300,Benton,Duty,Brooklyn,2024-05-19,240,31,60,,Present,360
301,Margrett,Hanks,Manhattan,2024-06-23,284,33,13,,Present,720
302,Sherwood,Lingenfelter,Brooklyn,2024-06-23,,,,,Absent,75
303,Livia,Starr,Manhattan,2024-06-23,442,51,81,,Present,720
304,Edna,Holt,Manhattan,2024-06-23,123,18,6,,Present,720
305,Denise,Balser,Manhattan,2024-06-02,,,,,Absent,720
306,Rolf,Galley,Brooklyn,2024-06-02,,,,,Absent,720
307,Enedina,Mika,Manhattan,2024-06-02,,,,,Absent,720
308,Brandon,Authement,Brooklyn,2024-06-23,11,-5,16,0,Present,300
309,Afton,Dees,Brooklyn,2024-06-02,,,,,Absent,720
310,Cecile,Kealey,Manhattan,2024-05-19,335,87,82,,Present,360
311,Dusty,Bickel,Manhattan,2024-06-23,323,24,26,,Present,720
312,Nichelle,Wasko,Brooklyn,2024-06-02,,,,,Absent,720
313,Leeanna,Gregson,Manhattan,2024-06-23,481,79,82,,Present,720
314,Perry,Daigneault,Manhattan,2024-06-23,118,19,9,,Present,720
315,Solange,Borror,Manhattan,2024-06-23,,,,,Absent,75
316,Jamey,Kirwin,Manhattan,2024-06-23,190,74,38,78,Present,300
317,Jani,Foulds,Manhattan,2024-06-02,,,,,Absent,720
318,Ted,Hartig,Manhattan,2024-06-23,,,,,Absent,720
319,Grace,Fitch,Brooklyn,2024-06-02,565,106,113,,Present,720
320,Idalia,Peluso,Bronx,2024-06-23,306,22,25,,Present,720
321,Gerri,Rotter,Manhattan,2024-06-16,126,45,38,43,Present,300
322,Mervin,Woolum,Brooklyn,2024-06-16,67,,,,Present,75
323,Nobuko,Bialek,Brooklyn,2024-06-02,,,,,Absent,720
324,Kizzy,Mancil,Brooklyn,2024-06-02,,,,,Absent,720
325,Nelda,Lucian,Manhattan,2024-06-23,200,43,19,,Present,720
326,Odessa,Marshburn,Manhattan,2024-06-23,,,,,Absent,720
327,Armida,Johanson,Queens,2024-06-02,,,,,Absent,720
328,Yang,Lubinski,Brooklyn,2024-06-02,,,,,Absent,720
329,Luciana,Breneman,Brooklyn,2024-06-02,411,45,61,,Present,720
330,Joaquin,Southworth,Manhattan,2024-06-02,,,,,Absent,720
331,Madalyn,Pettiford,Brooklyn,2024-06-02,606,124,147,,Absent,720
332,Annika,Seamon,Brooklyn,2024-06-23,26,5,1,20,Absent,300
333,Deanna,Cleek,Manhattan,2024-06-02,337,80,16,,Absent,720
334,Lynn,Clifton,Brooklyn,2024-05-19,158,23,41,,Absent,360
335,Horacio,Gilford,Brooklyn,2024-06-23,417,144,107,,Absent,720
336,Silvana,Gosier,Brooklyn,2024-06-16,47,,,,Absent,75
337,Casimira,Bakker,Manhattan,2024-06-02,,,,,Absent,720
338,Milagros,Hixson,Brooklyn,2024-06-02,,,,,Absent,720
339,Vaughn,Revilla,Brooklyn,2024-06-02,,,,,Absent,720
340,Cornelia,Holly,Brooklyn,2024-06-02,,,,,Absent,720
341,Maryanna,Klemme,Brooklyn,2024-06-23,250,17,16,,Present,720
342,Ines,Breeden,Brooklyn,2024-06-23,129,18,34,,Present,720
343,Bill,Kuhlmann,Brooklyn,2024-06-09,,,,,Absent,75
344,Ilda,Bethel,Manhattan,2024-06-23,98,38,2,,Present,720
345,Norene,Boudreau,Brooklyn,2024-06-02,,,,,Absent,720
346,Sheron,Lefever,Brooklyn,2024-06-02,,,,,Absent,720
347,Stefany,Pietrzak,Brooklyn,2024-06-16,35,,,,Present,75
348,Cathleen,Brawn,Brooklyn,2024-06-23,,,,,Absent,720
349,Loriann,Wedeking,Manhattan,2024-06-02,209,23,16,,Present,720
350,Jonathon,Red,Brooklyn,2024-06-02,,,,,Absent,720
351,Genie,Muma,Brooklyn,2024-06-16,78,22,38,18,Present,300
352,Arletha,Badalamenti,Manhattan,2024-06-02,,,,,Absent,720
353,Elza,Buser,Manhattan,2024-06-16,,,,,Absent,300
354,Alaina,Lykes,Brooklyn,2024-06-16,,,,,Absent,300
355,Pamula,Dalzell,Manhattan,2024-06-02,,,,,Absent,720
356,Maricela,Jhonson,Brooklyn,2024-06-23,554,110,119,,Present,720
357,Audry,Mcgarr,Brooklyn,2024-06-23,,,,,Absent,720
358,Kyla,Bingaman,Brooklyn,2024-06-23,,,,,Absent,75
359,Shyla,Tubman,Queens,2024-06-23,343,17,3,,Present,720
360,Scottie,Felton,Brooklyn,2024-06-09,,,,,Absent,75
361,Terrance,Joy,Brooklyn,2024-06-23,,,,,Absent,720
362,Yee,Trieu,Brooklyn,2024-06-02,414,73,49,,Present,720
363,Houston,Oller,Brooklyn,2024-06-09,,,,,Absent,75
364,Ladawn,Ates,Brooklyn,2024-06-09,33,8,6,13,Present,75
365,Marylouise,Dorn,Brooklyn,2024-06-23,600,140,120,,Present,720
366,Rex,Merriam,Manhattan,2024-06-02,491,116,63,,Present,720
367,Rosetta,Heidenreich,Manhattan,2024-06-09,26,3,7,11,Present,75
368,Billye,Serafin,Manhattan,2024-06-23,,,,,Absent,720
369,Brittaney,Hermes,Brooklyn,2024-06-09,53,11,10,19,Present,75
370,Nannie,Colligan,Manhattan,2024-06-23,586,130,121,,Present,720
371,Emmy,Gallaway,Queens,2024-06-23,311,20,25,,Present,720
372,Giselle,Lou,Brooklyn,2024-06-02,503,73,125,,Present,720
373,Pam,Melendez,Brooklyn,2024-06-02,,,,,Absent,720
374,Julius,Blazek,Manhattan,2024-06-02,436,47,79,,Present,720
375,Krystina,Lucca,Brooklyn,2024-06-16,56,,,,Present,75
376,Raisa,Musgrove,Brooklyn,2024-06-23,364,82,53,,Present,720
377,Carmelo,Wain,Manhattan,2024-06-23,310,66,42,,Present,720
378,Kera,Gilkison,Queens,2024-06-16,133,44,31,58,Present,300
379,Xavier,Trotta,Brooklyn,2024-06-23,32,4,8,11,Present,75
380,Florance,Lawhon,Manhattan,2024-06-23,81,30,19,32,Present,300
381,Albertha,Digennaro,Brooklyn,2024-06-02,,,,,Absent,720
382,Andra,Bevel,Brooklyn,2024-06-09,,,,,Absent,75
383,Winford,Hamlin,Manhattan,2024-06-23,,,,,Absent,720
384,Bonny,Horney,Manhattan,2024-06-23,,,,,Absent,720
385,Codi,Garrels,Brooklyn,2024-06-23,,,,,Absent,720
386,Kristeen,Warman,Manhattan,2024-06-23,,,,,Absent,720
387,Trinidad,Graziano,Manhattan,2024-06-23,,,,,Absent,720
388,Viva,Roda,Brooklyn,2024-06-02,443,73,79,,Present,720
389,Manual,Vales,Brooklyn,2024-06-23,85,26,36,23,Present,300
